 2019-04-26 08:54:54,770 [P26592/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.2 application starting on DESKTOP-2I0HIL9
 2019-04-26 08:54:54,880 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2019-04-26 08:54:54,939 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 59ms)
 2019-04-26 08:54:55,164 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2019-04-26 08:54:56,083 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 919ms)
 2019-04-26 08:54:56,131 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2019-04-26 08:54:56,170 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 38ms)
 2019-04-26 08:54:56,171 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2019-04-26 08:54:56,216 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 45ms)
 2019-04-26 08:54:56,258 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2019-04-26 08:54:56,299 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 41ms)
 2019-04-26 08:54:56,301 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2019-04-26 08:54:56,340 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 39ms)
 2019-04-26 08:54:56,446 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2019-04-26 08:54:56,482 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 35ms)
 2019-04-26 08:54:56,483 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2019-04-26 08:54:56,526 [P26592/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 42ms)
 2019-04-26 08:55:00,773 [P26592/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2019-04-26 08:55:01,802 [P26592/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2019-04-26 08:55:01,933 [P26592/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2019-04-26 08:55:02,253 [P26592/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2019-04-26 08:55:02,662 [P26592/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2019-04-26 08:55:02,663 [P26592/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 4
 2019-04-26 08:55:02,697 [P26592/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8149ms)
 2019-04-26 08:55:03,219 [P26592/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:8145/umbraco (UmbracoModule request)
 2019-04-26 08:55:04,058 [P26592/D2/T6] INFO  umbraco.content - Load Xml from file...
 2019-04-26 08:55:04,091 [P26592/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2019-04-26 08:55:06,522 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2019-04-26 08:55:06,583 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 62ms)
 2019-04-26 08:55:26,036 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2019-04-26 08:55:26,113 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 76ms)
 2019-04-26 08:55:27,031 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2019-04-26 08:55:27,032 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
 2019-04-26 08:55:27,140 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2019-04-26 08:55:27,202 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 62ms)
 2019-04-26 08:56:04,603 [P26592/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2019-04-25 08:56:04
 2019-04-26 08:56:08,410 [P26592/D2/T6] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username admin from IP address ::1
 2019-04-26 08:56:08,416 [P26592/D2/T6] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: admin logged in from IP address ::1
 2019-04-26 08:56:08,852 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2019-04-26 08:56:08,902 [P26592/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 49ms)
 2019-04-26 08:56:09,313 [P26592/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2019-04-26 08:56:09,429 [P26592/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 115ms)
 2019-04-26 08:56:10,168 [P26592/D2/T19] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2019-04-26 08:56:10,250 [P26592/D2/T19] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 82ms)
 2019-04-26 08:56:10,293 [P26592/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2019-04-26 08:56:10,293 [P26592/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2019-04-26 08:56:10,305 [P26592/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
